,prompt,A,B,C,D,answer,queries
95489,What lives in some zoo exhibits?,animal statues,felines,extinct species,people,B,"what is the best possible answer for this question: What lives in some zoo exhibits?
 (A) felines
 (B) felines
 (C) extinct species
 (D) people
"
97671,Relocating a stalled vehicle requires a lot of,slopes,force,wind,gravity,B,"what is the best possible answer for this question: Relocating a stalled vehicle requires a lot of
 (A) force
 (B) force
 (C) wind
 (D) gravity
"
97544,One odd fossil that may have been discovered is,feelings,love,vortexes,poop,D,"what is the best possible answer for this question: One odd fossil that may have been discovered is
 (A) love
 (B) love
 (C) vortexes
 (D) poop
"
97608,Gas will rise when what happens to it?,blazing temps,cooling,melting,freezing,A,"what is the best possible answer for this question: Gas will rise when what happens to it?
 (A) cooling
 (B) cooling
 (C) melting
 (D) freezing
"
94062,Fish move best through water when their fins are?,Large [Collect],Long,Small,Short,A,"what is the best possible answer for this question: Fish move best through water when their fins are?
 (A) Long
 (B) Long
 (C) Small
 (D) Short
"
96685,A deer created a rose garden by,pooping,feelings,time travel,screaming,A,"what is the best possible answer for this question: A deer created a rose garden by
 (A) feelings
 (B) feelings
 (C) time travel
 (D) screaming
"
92893,Which did Thomas Edison invent?,microscope,compass,light bulb,steam engine,C,"what is the best possible answer for this question: Which did Thomas Edison invent?
 (A) compass
 (B) compass
 (C) light bulb
 (D) steam engine
"
96369,"If a thing is procreating, then it is",under age,too old,young,aged enough,D,"what is the best possible answer for this question: If a thing is procreating, then it is
 (A) too old
 (B) too old
 (C) young
 (D) aged enough
"
93258,Which object refracts light?,mirror,silver spoon,foil,glass prism,D,"what is the best possible answer for this question: Which object refracts light?
 (A) silver spoon
 (B) silver spoon
 (C) foil
 (D) glass prism
"
97187,Which would you avoid filling a beachball with?,nitrogen,sand,oxygen,helium,B,"what is the best possible answer for this question: Which would you avoid filling a beachball with?
 (A) sand
 (B) sand
 (C) oxygen
 (D) helium
"
97792,Earthquakes cause rock layers to do what?,crease,evaporate,sink,melt,A,"what is the best possible answer for this question: Earthquakes cause rock layers to do what?
 (A) evaporate
 (B) evaporate
 (C) sink
 (D) melt
"
95545,What does a frog eat?,plantlife,bug microphones,mayflies,minerals,C,"what is the best possible answer for this question: What does a frog eat?
 (A) bug microphones
 (B) bug microphones
 (C) mayflies
 (D) minerals
"
96967,During photosynthesis plants make their own,magic,candy,sustenance,cars,C,"what is the best possible answer for this question: During photosynthesis plants make their own
 (A) candy
 (B) candy
 (C) sustenance
 (D) cars
"
97898,Reproduction occurs when?,infancy,childhood,youth,physically prepared,D,"what is the best possible answer for this question: Reproduction occurs when?
 (A) childhood
 (B) childhood
 (C) youth
 (D) physically prepared
"
94866,You can find ferrous metals in,Grass,Vehicle scraps,Wood,Glass,B,"what is the best possible answer for this question: You can find ferrous metals in
 (A) Vehicle scraps
 (B) Vehicle scraps
 (C) Wood
 (D) Glass
"
98399,Mammals can breathe thanks to,organisms with roots,volcanoes,rainbows,oxygen tanks,A,"what is the best possible answer for this question: Mammals can breathe thanks to
 (A) volcanoes
 (B) volcanoes
 (C) rainbows
 (D) oxygen tanks
"
98462,Which is likeliest to decay?,rock,radio waves,steel,a rhinoceros,D,"what is the best possible answer for this question: Which is likeliest to decay?
 (A) radio waves
 (B) radio waves
 (C) steel
 (D) a rhinoceros
"
95170,Water vapor cooling causes it to what?,electrify,warm up,deliquesce,smell,C,"what is the best possible answer for this question: Water vapor cooling causes it to what?
 (A) warm up
 (B) warm up
 (C) deliquesce
 (D) smell
"
94738,Sedimentary rock is where you'll find most,pterodactyl bodies,flutes,pebbles,wings.,A,"what is the best possible answer for this question: Sedimentary rock is where you'll find most
 (A) flutes
 (B) flutes
 (C) pebbles
 (D) wings.
"
98479,food is a source of energy for what?,waterfalls,fires,grass snakes,mountains,C,"what is the best possible answer for this question: food is a source of energy for what?
 (A) fires
 (B) fires
 (C) grass snakes
 (D) mountains
"
95601,Mice,abandon their offspring,hatch their young,lay eggs,nurse their offspring,D,"what is the best possible answer for this question: Mice
 (A) hatch their young
 (B) hatch their young
 (C) lay eggs
 (D) nurse their offspring
"
4398,Which of these is a nonliving part of a forest?,Tree,Soil,Worm,Mushroom,B,"what is the best possible answer for this question: Which of these is a nonliving part of a forest?
 (A) Soil
 (B) Soil
 (C) Worm
 (D) Mushroom
"
1776,"According to a pH scale, which pH would be the strongest acid?",3,6,9,12,A,"what is the best possible answer for this question: According to a pH scale, which pH would be the strongest acid?
 (A) 6
 (B) 6
 (C) 9
 (D) 12
"
97395,Which of these allows humans to walk around?,luck,glucose,magic,sand,B,"what is the best possible answer for this question: Which of these allows humans to walk around?
 (A) glucose
 (B) glucose
 (C) magic
 (D) sand
"
98203,You can make an untraceable bullet with,metal,alloys,lead,frozen water,D,"what is the best possible answer for this question: You can make an untraceable bullet with
 (A) alloys
 (B) alloys
 (C) lead
 (D) frozen water
"
98452,Cactus store their liquids in their,flowers,lockers,super market,trunks,D,"what is the best possible answer for this question: Cactus store their liquids in their
 (A) lockers
 (B) lockers
 (C) super market
 (D) trunks
"
94929,What are nutrients a source of energy for?,water,whales,stars,plastids,B,"what is the best possible answer for this question: What are nutrients a source of energy for?
 (A) whales
 (B) whales
 (C) stars
 (D) plastids
"
98244,Standing on a plastic tote will,vaporize it,deform it,levitate it,melt it,B,"what is the best possible answer for this question: Standing on a plastic tote will
 (A) deform it
 (B) deform it
 (C) levitate it
 (D) melt it
"
94927,A stone is weathered into sand in about,a millennia,a week,a day,a fortnight,A,"what is the best possible answer for this question: A stone is weathered into sand in about
 (A) a week
 (B) a week
 (C) a day
 (D) a fortnight
"
95477,Dormant cane toads emerges from mud to ended their,long slumber,day,life,meeting,A,"what is the best possible answer for this question: Dormant cane toads emerges from mud to ended their
 (A) day
 (B) day
 (C) life
 (D) meeting
"
96524,Digestion is when stomach acid breaks down,a pizza,a house,a rock,a car,A,"what is the best possible answer for this question: Digestion is when stomach acid breaks down
 (A) a house
 (B) a house
 (C) a rock
 (D) a car
"
96862,An item placed on a balance will be,broken,measured,sorted,classified,B,"what is the best possible answer for this question: An item placed on a balance will be
 (A) measured
 (B) measured
 (C) sorted
 (D) classified
"
97642,On what product might you find a reflector?,Xbox,Toyota,Samsung,Apple,B,"what is the best possible answer for this question: On what product might you find a reflector?
 (A) Toyota
 (B) Toyota
 (C) Samsung
 (D) Apple
"
95386,A person will make ethanol out of all aside from,salt,grain,corn,maize,A,"what is the best possible answer for this question: A person will make ethanol out of all aside from
 (A) grain
 (B) grain
 (C) corn
 (D) maize
"
97973,Which is likeliest to be torn by human hands?,wood,steel,taffy,diamond,C,"what is the best possible answer for this question: Which is likeliest to be torn by human hands?
 (A) steel
 (B) steel
 (C) taffy
 (D) diamond
"
96213,"If our globe is split in half, the innards would be",stony,ice,hollow,gold,A,"what is the best possible answer for this question: If our globe is split in half, the innards would be
 (A) ice
 (B) ice
 (C) hollow
 (D) gold
"
98188,Ducks might their webbed appendages to,season pizza,navigate,sing,do ballet,B,"what is the best possible answer for this question: Ducks might their webbed appendages to
 (A) navigate
 (B) navigate
 (C) sing
 (D) do ballet
"
97649,What requires nutrients for survival?,sand,plastic,metal,an anaconda,D,"what is the best possible answer for this question: What requires nutrients for survival?
 (A) plastic
 (B) plastic
 (C) metal
 (D) an anaconda
"
94706,Birds go south to look for,Vacation,Friends,Insurance,a different climate,D,"what is the best possible answer for this question: Birds go south to look for
 (A) Friends
 (B) Friends
 (C) Insurance
 (D) a different climate
"
98019,A dog can breathe,under an ocean,out in space,in a church,in a sarcophagus,C,"what is the best possible answer for this question: A dog can breathe
 (A) out in space
 (B) out in space
 (C) in a church
 (D) in a sarcophagus
"
96646,Where would jumping be the hardest?,Mars,Jupiterr,the Earth,the moon,B,"what is the best possible answer for this question: Where would jumping be the hardest?
 (A) Jupiterr
 (B) Jupiterr
 (C) the Earth
 (D) the moon
"
4495,Which is an example of a single-celled organism?,amoeba,insect,fish,worm,A,"what is the best possible answer for this question: Which is an example of a single-celled organism?
 (A) insect
 (B) insect
 (C) fish
 (D) worm
"
95947,A huckleberry patch will only grow if it receives,nutriment,grass,frost,sand,A,"what is the best possible answer for this question: A huckleberry patch will only grow if it receives
 (A) grass
 (B) grass
 (C) frost
 (D) sand
"
96532,How many full moons are there each month,"1,000",twenty,100,less than two,D,"what is the best possible answer for this question: How many full moons are there each month
 (A) twenty
 (B) twenty
 (C) 100
 (D) less than two
"
97981,A warm glass place in the fridge will,glow,condensate,shrink,crack,B,"what is the best possible answer for this question: A warm glass place in the fridge will
 (A) condensate
 (B) condensate
 (C) shrink
 (D) crack
"
96561,"If an object eventually warms, it was exposed to",resistance,salt,moisture,sand,A,"what is the best possible answer for this question: If an object eventually warms, it was exposed to
 (A) salt
 (B) salt
 (C) moisture
 (D) sand
"
97646,A dead giant sequoia,turns into mistletoe,flies away,drops pine needles,falls down,D,"what is the best possible answer for this question: A dead giant sequoia
 (A) flies away
 (B) flies away
 (C) drops pine needles
 (D) falls down
"
93819,"Deserts, Jungles, and Oceans have many different",organisms,fish,trees,grasses,A,"what is the best possible answer for this question: Deserts, Jungles, and Oceans have many different
 (A) fish
 (B) fish
 (C) trees
 (D) grasses
"
93034,Where are proteins synthesized?,mitochondria,ribosomes,centrioles,lysosomes,B,"what is the best possible answer for this question: Where are proteins synthesized?
 (A) ribosomes
 (B) ribosomes
 (C) centrioles
 (D) lysosomes
"
93797,Precipitation sometimes leads to,mountains,earthquakes,volcanoes,caves,D,"what is the best possible answer for this question: Precipitation sometimes leads to
 (A) earthquakes
 (B) earthquakes
 (C) volcanoes
 (D) caves
"
94642,Carbonic acid dissolves what to form caverns?,air,water,grass,sediment,D,"what is the best possible answer for this question: Carbonic acid dissolves what to form caverns?
 (A) water
 (B) water
 (C) grass
 (D) sediment
"
